ID,Depression,Alcohol,Suicide,Drugs
02V56KMO,0.63999385,0.08717855,0.26569805,0.007129494
03BMGTOK,0.9948329,0.00081733,0.0036323606,0.0007173669
03LZVFM6,0.99532306,0.0008012713,0.0031206915,0.0007549135
0EPULUM5,0.9945472,0.00078391563,0.0039730244,0.0006959039
0GM4C5GD,0.0042439243,0.30325156,0.006640999,0.6858635
0IYM8BYT,0.9946046,0.00076026784,0.0039649513,0.0006701388
0JFJVD28,0.9859716,0.0013476863,0.011624457,0.0010562631
0OZGUFOF,0.9957751,0.00076946133,0.0027613987,0.00069404964
0WP999ZX,0.0011973137,0.99244463,0.002674155,0.0036838793
0ZA45Y5F,0.0022067532,0.97900265,0.008887287,0.009903262
13V2N1XF,0.9939597,0.0010298232,0.0041317157,0.0008787101
16THDEEP,0.005524795,0.9869379,0.0041240314,0.0034132674
1AU3C3HI,0.9928504,0.001007077,0.0053061373,0.0008364025
1D7TE9IY,0.7846838,0.06869487,0.13309577,0.013525498
1MHNW745,0.0010842017,0.9925605,0.0025526215,0.0038026734
1TZY1GIP,0.9932815,0.0015216687,0.004197575,0.0009993234
1ZTKVYXC,0.9908535,0.0010591476,0.0072033056,0.00088407256
22L09P4C,0.0022786122,0.007165241,0.003261031,0.98729515
23C43VXB,0.99466544,0.0009837275,0.0035222047,0.00082865375
255YNCPV,0.30629796,0.06344422,0.60997933,0.020278487
25NGSGR3,0.99599075,0.000720227,0.002543569,0.0007454449
289054IS,0.9937471,0.0012784584,0.0034795895,0.0014948598
28AM1F1Y,0.0013426219,0.9913293,0.0029160525,0.004411984
2EC4OIPR,0.9938911,0.000981371,0.004355125,0.00077233266
2FCIOIC1,0.018004555,0.0085638715,0.96804285,0.0053886464
2L8WA7A4,0.9073286,0.011932681,0.07536761,0.0053711897
2Q7GS1WB,0.9953259,0.0007686489,0.0031942253,0.0007111995
2SFRZEYJ,0.329801,0.031068837,0.626989,0.01214121
2ZODHMOB,0.9954975,0.0008700992,0.0028120368,0.00082028826
30F40YH4,0.9391159,0.014680659,0.041118585,0.005084873
36UOSKA4,0.99224824,0.0010409744,0.005973645,0.000737168
370FVIAF,0.15966216,0.107551955,0.681301,0.051484924
3B7S1S6B,0.33856946,0.24517362,0.06396008,0.35229686
3H1OFXL7,0.99461544,0.0008537557,0.0038465313,0.0006842802
3NMNSYA4,0.99261296,0.0010277552,0.005289886,0.0010694171
3PLATXLT,0.002392024,0.007022673,0.003770447,0.98681486
3SS0AHGQ,0.72924674,0.07789703,0.1588207,0.034035552
427XJQBB,0.15486929,0.05540666,0.7671745,0.022549564
44XZ10QC,0.99366915,0.0008436678,0.0047849505,0.00070221635
4DL9UOQL,0.001859872,0.017334674,0.003298626,0.9775068
57VMVY5S,0.9442339,0.0013900356,0.05310278,0.0012732596
5AP5IX9B,0.98738813,0.0013618586,0.010398215,0.00085178996
5G7R1F52,0.0009802135,0.9915331,0.0022737966,0.0052128853
5JK5HYM9,0.9953106,0.00082608836,0.0031434607,0.0007199153
5NEYXWJK,0.0012889049,0.9932359,0.0027857437,0.0026894864
62MJYMB4,0.9957051,0.0008048136,0.0027435194,0.00074648426
64MWIS95,0.6202504,0.16967574,0.13956766,0.07050614
6HICH3FC,0.99349356,0.0012645678,0.003514858,0.0017270551
6JTLBUO2,0.98801553,0.0013898521,0.009382771,0.001211852
6LTXVB46,0.989962,0.0020593847,0.0059928065,0.001985779
6O5GQX0Z,0.7812181,0.08529055,0.11779074,0.015700549
6T33I7B8,0.9944695,0.00083386933,0.0039027806,0.00079385255
6TSGOG4R,0.9953845,0.00078839983,0.0031666507,0.0006604781
6UFUYHR7,0.9949773,0.0007948771,0.0035634853,0.0006643323
6V2783JI,0.0011427412,0.99243116,0.0025447144,0.0038813823
6X7DK2U3,0.99468756,0.0009702033,0.003332893,0.0010093972
728CHZ04,0.5934677,0.07665348,0.30769724,0.022181569
72NC368J,0.018443076,0.010298932,0.96434623,0.0069117188
74N1XY6J,0.5934677,0.07665348,0.30769724,0.022181569
7BRH6PT9,0.0012617218,0.99316156,0.002821173,0.0027554757
7BURQ08H,0.0012617612,0.9931179,0.0027736295,0.002846669
7CGD8W08,0.0013626707,0.99161977,0.003891088,0.003126505
7ERDSQ4Q,0.9951337,0.0008127087,0.0033713363,0.00068233407
7GV9GMHR,0.34361035,0.06157426,0.57182634,0.022989023
7HYJWJTB,0.22463366,0.07475621,0.6612843,0.03932581
7IMGIR6F,0.9930378,0.0010154723,0.004889393,0.0010573335
7MFR419R,0.20855048,0.04442094,0.73017406,0.01685452
7NDP01F0,0.6256733,0.0063826316,0.36537546,0.0025686205
7U5FD20H,0.1897101,0.059248816,0.73320854,0.017832523
82MKUDEC,0.9958018,0.0007862946,0.0025401276,0.0008718362
8B9ADEWI,0.99145716,0.0011885604,0.006532223,0.0008220944
8BFV4VOX,0.24081342,0.1990489,0.49529058,0.064847015
8P6YOLMS,0.3122831,0.1782773,0.48989397,0.019545635
8Q25BIL1,0.0021986812,0.0074908524,0.0035712973,0.98673916
8SSR9UYN,0.99512213,0.0008027238,0.0033936263,0.00068155595
8YXQSEHH,0.99464875,0.000984998,0.003606087,0.0007601296
8Z4UTZVE,0.044078775,0.49236625,0.13742265,0.32613227
96Q2X9PY,0.19500339,0.06386731,0.70780957,0.03331973
9CZ5DDHT,0.8836099,0.004551819,0.10756248,0.004275867
9JW2PGV8,0.0020776768,0.9393749,0.0046647266,0.05388268
9L13GJIT,0.54060864,0.363717,0.08249079,0.013183561
9OTMSDU9,0.79849136,0.026083719,0.16438444,0.011040521
9VW7CPBV,0.043168582,0.6262212,0.2409625,0.089647695
9YVCQS7J,0.001236843,0.9927551,0.002719448,0.0032886036
A08XVOJ9,0.4834644,0.100723065,0.3637423,0.0520703
A1QFJ71D,0.99318635,0.0011214188,0.0046244757,0.0010676931
A54FELHT,0.0021302446,0.008584893,0.004181011,0.9851039
A8F3BDON,0.001280794,0.99295205,0.002756379,0.0030107575
AFY1KE95,0.99566144,0.0007974794,0.0027597484,0.000781244
AHNC9LX3,0.93398154,0.004287013,0.015214032,0.04651747
AJ95VZJW,0.94439477,0.011556919,0.03721053,0.006837784
ANDTOXCS,0.0017107714,0.032683425,0.0040290616,0.96157676
AYR375LB,0.98725164,0.0021687876,0.00868651,0.0018930621
